Rk,Player,Pos,Squad,Age,Born,MP,Starts,Mins,90s,GA,GA90,SoTA,Saves,Saves%,W,D,L,CS,CS%,Pkatt,PKA,PKsv,PKm,Saves%1
1,Altay Bayındır,GK,Türkiye,25,1998,1,1,90,1,3,3.0,3,1,0.0,0,0,1,0,0,0,0,0,0,
2,Koen Casteels,GK,Belgium,31,1992,4,4,360,4,2,0.5,14,13,85.7,2,1,2,2,50,0,0,0,0,
3,Diogo Costa,GK,Portugal,24,1999,5,5,510,6,3,0.5,14,11,85.7,4,2,1,3,60,1,1,0,0,0
4,Gianluigi Donnarumma,GK,Italy,24,1999,4,4,360,4,5,1.3,17,12,70.6,2,1,2,0,0,1,0,1,0,100
5,Martin Dúbravka,GK,Slovakia,35,1989,4,4,390,4,5,1.2,16,11,75.0,2,1,2,1,25,1,1,0,0,0
6,Péter Gulácsi,GK,Hungary,33,1990,3,3,270,3,5,1.7,14,9,64.3,2,0,2,1,33,0,0,0,0,
7,Angus Gunn,GK,Scotland,28,1996,3,3,270,3,7,2.3,19,12,68.4,0,1,2,0,0,1,1,0,0,0
8,Mert Günok,GK,Türkiye,34,1989,4,4,360,4,5,1.3,19,15,73.7,6,0,1,0,0,0,0,0,0,
9,Matej Kovar,GK,Czechia,23,2000,1,0,36,0,1,2.5,2,1,50.0,0,0,0,0,,0,0,0,0,
10,Dominik Livaković,GK,Croatia,29,1995,3,3,270,3,6,2.0,15,9,60.0,0,2,1,0,0,0,0,0,0,
11,Andriy Lunin,GK,Ukraine,24,1999,1,1,90,1,3,3.0,5,2,40.0,0,0,1,0,0,0,0,0,0,
12,Mike Maignan,GK,France,28,1995,6,6,570,6,3,0.5,18,15,88.9,4,3,1,4,67,1,1,0,0,0
13,Giorgi Mamardashvili,GK,Georgia,23,2000,4,4,360,4,8,2.0,38,30,78.9,2,1,2,1,25,0,0,0,0,
14,Manuel Neuer,GK,Germany,37,1986,5,5,480,5,4,0.8,14,11,71.4,6,1,1,2,40,0,0,0,0,
15,Florin Niță,GK,Romania,36,1987,4,4,360,4,6,1.5,21,15,71.4,2,1,2,1,25,0,0,0,0,
16,Jan Oblak,GK,Slovenia,31,1993,4,4,390,4,2,0.5,17,14,88.2,0,4,0,2,50,1,0,1,0,100
17,Patrick Pentz,GK,Austria,27,1997,4,4,360,4,6,1.5,11,6,45.5,4,0,2,0,0,0,0,0,0,
18,Jordan Pickford,GK,England,29,1994,7,7,690,8,6,0.8,23,17,73.9,6,3,1,2,29,0,0,0,0,
19,Predrag Rajković,GK,Serbia,28,1995,3,3,270,3,2,0.7,10,8,80.0,0,2,1,1,33,0,0,0,0,
20,David Raya,GK,Spain,28,1995,1,1,90,1,0,0.0,4,4,100.0,2,0,0,1,100,0,0,0,0,
21,Kasper Schmeichel,GK,Denmark,37,1986,4,4,360,4,4,1.0,16,12,81.3,0,3,1,1,25,1,1,0,0,0
22,Unai Simón,GK,Spain,26,1997,6,6,570,6,4,0.6,17,13,76.5,12,0,0,2,33,1,0,1,0,100
23,Łukasz Skorupski,GK,Poland,32,1991,1,1,90,1,1,1.0,8,7,100.0,0,1,0,0,0,1,1,0,0,0
24,Yann Sommer,GK,Switzerland,35,1988,5,5,480,5,4,0.8,12,8,66.7,4,3,0,1,20,0,0,0,0,
25,Jindřich Staněk,GK,Czechia,27,1996,3,3,234,3,4,1.5,12,9,75.0,0,1,2,0,0,1,1,0,0,0
26,Thomas Strakosha,GK,Albania,28,1995,3,3,270,3,5,1.7,17,13,70.6,0,1,2,0,0,0,0,0,0,
27,Wojciech Szczęsny,GK,Poland,33,1990,2,2,180,2,5,2.5,13,8,69.2,0,0,2,0,0,1,1,0,0,0
28,Anatolii Trubin,GK,Ukraine,22,2001,2,2,180,2,1,0.5,9,8,88.9,2,1,0,1,50,0,0,0,0,
29,Bart Verbruggen,GK,Netherlands,21,2002,6,6,540,6,7,1.2,23,17,73.9,6,1,2,2,33,1,1,0,0,0
