Rk,Player,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off1
1,Amir Abrashi,MF,Albania,33,1990,0,,,,,0,,0,0,,3,,,,,,,,,,,
2,Che Adams,FW,Scotland,27,1996,3,209,70,77.4,2.3,3,70,0,0,,0,0.33,1,4,-3,-1.29,1.66,0.70,2.80,-2.00,-0.88,1.23
3,Michel Aebischer,DF,Switzerland,27,1997,5,476,95,99.2,5.3,5,95,3,0,,0,1.80,8,4,4,0.76,0.76,6.50,4.90,1.60,0.30,-5.09
4,Arlind Ajeti,DF,Albania,30,1993,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,3,5,-2,-0.67,,2.40,5.70,-3.20,-1.07,
5,Manuel Akanji,DF,Switzerland,28,1995,5,480,96,100.0,5.3,5,96,5,0,,0,1.80,8,4,4,0.75,,6.70,4.90,1.80,0.37,0.37
6,Samet Akaydın,DF,Türkiye,29,1994,4,335,84,74.4,3.7,4,84,2,0,,0,1.50,6,7,-1,-0.27,-1.05,5.70,5.60,0.20,0.04,1.45
7,Nathan Aké,DF,Netherlands,28,1995,6,470,78,87.0,5.2,6,78,2,0,,0,1.67,6,6,0,0.00,-3.86,6.60,5.20,1.30,0.25,-0.06
8,Yunus Akgün,FW,Türkiye,23,2000,1,69,69,15.3,0.8,1,69,0,0,,4,0.00,0,3,-3,-3.91,-4.62,0.70,1.60,-0.90,-1.23,-1.07
9,Kerem Aktürkoğlu,"FW,MF",Türkiye,25,1998,5,105,21,23.3,1.2,1,57,0,4,12,0,1.80,2,3,-1,-0.86,-1.12,2.80,3.00,-0.20,-0.21,0.15
10,Trent Alexander-Arnold,"MF,DF",England,25,1998,4,134,34,19.4,1.5,2,61,0,2,7,3,1.50,2,1,1,0.67,0.51,0.90,0.60,0.30,0.19,0.43
11,Denis Alibec,FW,Romania,33,1991,2,29,15,8.1,0.3,0,,0,2,15,2,0.00,0,2,-2,-6.21,-6.21,0.40,1.40,-1.00,-3.14,-2.70
12,Naser Aliji,"DF,MF",Albania,30,1993,0,,,,,0,,0,0,,3,,,,,,,,,,,
13,Barış Alper Yılmaz,FW,Türkiye,23,2000,5,450,90,100.0,5.0,5,90,5,0,,0,1.80,8,8,0,0.00,,7.30,8.90,-1.60,-0.32,
14,Sandro Altunashvili,MF,Georgia,26,1997,2,52,26,14.4,0.6,0,,0,2,26,2,0.00,0,4,-4,-6.92,-7.22,0.40,3.00,-2.60,-4.51,-3.24
15,Zeki Amdouni,"MF,FW",Switzerland,23,2000,4,57,14,11.9,0.6,0,,0,4,14,1,1.50,1,1,0,0.00,-0.85,1.40,0.90,0.50,0.85,0.58
16,Joachim Andersen,DF,Denmark,27,1996,4,360,90,100.0,4.0,4,90,4,0,,0,0.75,2,4,-2,-0.50,,4.30,4.80,-0.50,-0.12,
17,Robert Andrich,MF,Germany,29,1994,5,318,64,66.3,3.5,4,61,0,1,75,0,2.00,7,3,4,1.13,-0.53,6.60,3.50,3.10,0.98,-0.06
18,Waldemar Anton,DF,Germany,27,1996,2,33,17,6.9,0.4,0,,0,2,17,3,1.50,0,1,-1,-2.73,-4.34,1.00,0.90,0.00,0.55,-0.45
19,Alphonse Areola,GK,France,30,1993,0,,,,,0,,0,0,,6,,,,,,,,,,,
20,Stuart Armstrong,MF,Scotland,31,1992,1,15,15,5.6,0.2,0,,0,1,15,2,0.00,0,1,-1,-6.00,-4.59,0.10,0.80,-0.70,-3.96,-2.96
21,Marko Arnautović,FW,Austria,34,1989,4,279,70,77.5,3.1,3,82,1,1,32,0,1.50,6,5,1,0.32,0.32,5.80,5.00,0.80,0.25,0.38
22,Jasir Asani,FW,Albania,28,1995,3,210,70,77.8,2.3,3,70,0,0,,0,0.33,2,3,-1,-0.43,1.07,1.40,4.30,-2.80,-1.22,-0.64
23,Kristjan Asllani,MF,Albania,21,2002,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,3,5,-2,-0.67,,2.40,5.70,-3.20,-1.07,
24,Kaan Ayhan,"MF,DF",Türkiye,29,1994,5,358,72,79.6,4.0,4,78,1,1,45,0,1.80,7,8,-1,-0.25,-1.23,5.80,7.70,-1.90,-0.47,-0.74
25,Srđan Babić,DF,Serbia,27,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,
