Round,Match_Week_Number,Day,Date,Time(German_Time),Home,Score,Away,Attendance,Venue,Referee
Group stage,1,Fri,6/14/2024,9:00:00 PM,Germany,5--1,Scotland,65052,Allianz Arena (Neutral Site),Clément Turpin
Group stage,1,Sat,6/15/2024,3:00:00 PM,Hungary,1--3,Switzerland,41676,RheinEnergieSTADION (Neutral Site),Slavko Vinčič
Group stage,1,Sat,6/15/2024,6:00:00 PM,Spain,3--0,Croatia,68844,Olympiastadion Berlin (Neutral Site),Michael Oliver
Group stage,1,Sat,6/15/2024,9:00:00 PM,Italy,2--1,Albania,60512,Signal Iduna Park (Neutral Site),Felix Zwayer
Group stage,1,Sun,6/16/2024,3:00:00 PM,Poland,1--2,Netherlands,48117,Volksparkstadion (Neutral Site),Artur Soares Dias
Group stage,1,Sun,6/16/2024,6:00:00 PM,Slovenia,1--1,Denmark,54000,MHPArena (Neutral Site),Sandro Schärer
Group stage,1,Sun,6/16/2024,9:00:00 PM,Serbia,0--1,England,48953,Veltins-Arena (Neutral Site),Daniele Orsato
Group stage,1,Mon,6/17/2024,3:00:00 PM,Romania,3--0,Ukraine,61591,Allianz Arena (Neutral Site),Glenn Nyberg
Group stage,1,Mon,6/17/2024,6:00:00 PM,Belgium,0--1,Slovakia,45181,Deutsche Bank Park (Neutral Site),Halil Umut Meler
Group stage,1,Mon,6/17/2024,9:00:00 PM,Austria,0--1,France,46425,Merkur Spielarena (Neutral Site),Jesús Gil
Group stage,1,Tue,6/18/2024,6:00:00 PM,Turkiye,3--1,Georgia,59127,Signal Iduna Park (Neutral Site),Facundo Tello
Group stage,1,Tue,6/18/2024,9:00:00 PM,Portugal,2--1,Czechia,38421,Red Bull Arena (Neutral Site),Marco Guida
Group stage,2,Wed,6/19/2024,3:00:00 PM,Croatia,2--2,Albania,46784,Volksparkstadion (Neutral Site),François Letexier
Group stage,2,Wed,6/19/2024,6:00:00 PM,Germany,2--0,Hungary,54000,MHPArena (Neutral Site),Danny Makkelie
Group stage,2,Wed,6/19/2024,9:00:00 PM,Scotland,1--1,Switzerland,42711,RheinEnergieSTADION (Neutral Site),Ivan Kružliak
