RK,Player,Pos,Squad,Age,Born,90s,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
1,Che Adams,FW,Scotland,27,1996,2.3,2,1,1,1,0,1,1,100.0,0,2,0,2,1,3,0,0
2,Michel Aebischer,DF,Switzerland,27,1997,5.3,4,3,2,2,0,1,11,9.1,10,3,1,2,2,6,7,0
3,Arlind Ajeti,DF,Albania,30,1993,3.0,1,0,0,1,0,1,3,33.3,2,5,4,1,6,7,13,0
4,Manuel Akanji,DF,Switzerland,28,1995,5.3,2,2,2,0,0,1,2,50.0,1,6,6,0,4,6,22,0
5,Samet Akaydın,DF,Türkiye,29,1994,3.7,8,4,8,0,0,6,8,75.0,2,5,5,0,7,15,16,0
6,Nathan Aké,DF,Netherlands,28,1995,5.2,7,5,7,0,0,4,7,57.1,3,4,3,1,6,13,14,0
7,Yunus Akgün,FW,Türkiye,23,2000,0.8,2,1,1,1,0,2,2,100.0,0,1,0,1,0,2,0,0
8,Kerem Aktürkoğlu,"FW,MF",Türkiye,25,1998,1.2,1,1,1,0,0,1,2,50.0,1,1,0,1,1,2,3,0
9,Trent Alexander-Arnold,"MF,DF",England,25,1998,1.5,1,0,1,0,0,0,1,0.0,1,4,2,2,2,3,3,1
10,Denis Alibec,FW,Romania,33,1991,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
11,Barış Alper Yılmaz,FW,Türkiye,23,2000,5.0,5,0,0,3,2,1,3,33.3,2,1,0,1,0,5,1,0
12,Sandro Altunashvili,MF,Georgia,26,1997,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1
13,Zeki Amdouni,"MF,FW",Switzerland,23,2000,0.6,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,0
14,Joachim Andersen,DF,Denmark,27,1996,4.0,5,1,2,3,0,3,3,100.0,0,4,1,3,2,7,11,0
15,Robert Andrich,MF,Germany,29,1994,3.5,12,8,8,4,0,5,7,71.4,2,3,1,2,2,14,12,0
16,Waldemar Anton,DF,Germany,27,1996,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
17,Stuart Armstrong,MF,Scotland,31,1992,0.2,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0
18,Marko Arnautović,FW,Austria,34,1989,3.1,2,1,0,1,1,1,1,100.0,0,1,0,1,0,2,2,0
19,Jasir Asani,FW,Albania,28,1995,2.3,3,1,3,0,0,1,7,14.3,6,1,0,1,4,7,4,0
20,Kristjan Asllani,MF,Albania,21,2002,3.0,1,1,1,0,0,0,2,0.0,2,0,0,0,3,4,6,0
21,Kaan Ayhan,"MF,DF",Türkiye,29,1994,4.0,6,3,3,2,1,4,10,40.0,6,5,0,5,2,8,17,0
22,Alex Baena,"MF,FW",Spain,22,2001,0.3,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,0,0
23,Alexander Bah,"DF,MF",Denmark,26,1997,3.1,4,4,2,1,1,4,8,50.0,4,1,0,1,5,9,5,0
24,Nedim Bajrami,"FW,MF",Albania,24,1999,2.7,3,1,2,1,0,0,2,0.0,2,1,0,1,0,3,1,0
25,Johan Bakayoko,"FW,DF",Belgium,20,2003,0.5,2,1,1,1,0,0,3,0.0,3,0,0,0,0,2,0,0
26,Jure Balkovec,DF,Slovenia,29,1994,1.3,6,3,2,3,1,2,5,40.0,3,2,0,2,2,8,8,0
27,Iván Balliu,DF,Albania,32,1992,1.0,0,0,0,0,0,0,0,,0,1,1,0,2,2,2,0
28,Nicușor Bancu,DF,Romania,31,1992,3.0,2,2,2,0,0,1,1,100.0,0,6,2,4,0,2,11,0
29,Antonín Barák,MF,Czechia,29,1994,0.5,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0
30,Bradley Barcola,"FW,MF",France,21,2002,1.1,4,4,1,1,2,1,4,25.0,3,6,0,6,0,4,0,0
31,Abdülkerim Bardakcı,DF,Türkiye,29,1994,4.0,4,2,4,0,0,3,6,50.0,3,5,3,2,2,6,20,0
32,Nicolò Barella,MF,Italy,26,1997,3.7,10,5,3,7,0,5,8,62.5,3,3,0,3,3,13,2,1
33,Alessandro Bastoni,DF,Italy,24,1999,4.0,5,2,2,3,0,2,3,66.7,1,4,2,2,1,6,17,0
34,Martin Baturina,FW,Croatia,20,2003,0.1,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
35,Christoph Baumgartner,"MF,FW",Austria,24,1999,3.2,4,1,2,1,1,1,2,50.0,1,1,0,1,1,5,3,0
36,Altay Bayındır,GK,Türkiye,25,1998,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
37,Jan Bednarek,DF,Poland,27,1996,3.0,2,1,2,0,0,2,6,33.3,4,8,7,1,3,5,13,0
38,Maximilian Beier,FW,Germany,21,2002,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
39,Jude Bellingham,"MF,FW",England,20,2003,7.4,15,11,3,5,7,2,9,22.2,7,7,1,6,4,19,7,1
40,László Bénes,MF,Slovakia,26,1997,0.8,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,1,0
41,Bartosz Bereszyński,DF,Poland,31,1992,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
42,Steven Bergwijn,FW,Netherlands,26,1997,1.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0
43,Medon Berisha,MF,Albania,20,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
44,Victor Bernth Kristiansen,"DF,MF",Denmark,21,2002,1.7,4,3,3,1,0,1,2,50.0,1,2,0,2,0,4,4,1
45,Matúš Bero,"MF,DF",Slovakia,28,1995,0.5,1,1,0,1,0,0,0,,0,0,0,0,1,2,0,0
46,Jaka Bijol,DF,Slovenia,24,1999,4.3,11,6,10,1,0,5,6,83.3,1,10,7,3,6,17,38,0
47,Veljko Birmančević,DF,Serbia,25,1998,0.3,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0
48,Daley Blind,FW,Netherlands,33,1990,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
49,Bendegúz Bolla,DF,Hungary,24,1999,2.3,4,3,3,0,1,2,4,50.0,2,3,1,2,1,5,9,0
50,Endre Botka,DF,Hungary,29,1994,1.0,3,1,2,1,0,1,1,100.0,0,0,0,0,1,4,3,0
51,Jarrod Bowen,FW,England,27,1996,0.4,1,1,0,1,0,0,1,0.0,1,1,0,1,1,2,1,0
52,Róbert Boženík,FW,Slovakia,24,1999,2.3,3,3,0,3,0,0,1,0.0,1,1,0,1,0,3,3,0
53,Volodymyr Brazhko,MF,Ukraine,22,2002,2.0,8,5,5,3,0,1,1,100.0,0,2,1,1,5,13,4,0
54,David Brekalo,MF,Slovenia,25,1998,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
55,Brian Brobbey,FW,Netherlands,21,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
