Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls1,Ast1,G+A1,G-PK1,G+A-PK,xG1,xAG1,xG+xAG,npxG1,npxG+xAG1
1,Che Adams,FW,Scotland,27,1996,3,3,209,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,2,10,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.09,0.05,0.09
2,Michel Aebischer,DF,Switzerland,27,1997,5,5,476,5.3,1,2,3,1,0,0,0,0,0.1,0.1,1.2,1.3,4,28,18,0.19,0.38,0.57,0.19,0.57,0.02,0.22,0.24,0.02,0.24
3,Arlind Ajeti,DF,Albania,30,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,Manuel Akanji,DF,Switzerland,28,1995,5,5,480,5.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,25,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,Samet Akaydın,DF,Türkiye,29,1994,4,4,335,3.7,1,0,1,1,0,0,2,0,0.4,0.4,0.0,0.4,1,15,0,0.27,0.00,0.27,0.27,0.27,0.09,0.00,0.09,0.09,0.09
6,Nathan Aké,DF,Netherlands,28,1995,6,6,470,5.2,0,1,1,0,0,0,1,0,0.1,0.1,0.4,0.6,7,21,11,0.00,0.19,0.19,0.00,0.19,0.02,0.08,0.11,0.02,0.11
7,Yunus Akgün,FW,Türkiye,23,2000,1,1,69,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,3,5,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11
8,Kerem Aktürkoğlu,"FW,MF",Türkiye,25,1998,5,1,105,1.2,1,0,1,1,0,0,0,0,1.4,1.4,0.1,1.5,7,3,11,0.86,0.00,0.86,0.86,0.86,1.22,0.11,1.33,1.22,1.33
9,Trent Alexander-Arnold,"MF,DF",England,25,1998,4,2,134,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,5,12,5,0.00,0.00,0.00,0.00,0.00,0.07,0.08,0.16,0.07,0.16
10,Denis Alibec,FW,Romania,33,1991,2,0,29,0.3,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,0,2,0.00,0.00,0.00,0.00,0.00,1.05,0.00,1.05,1.05,1.05
11,Barış Alper Yılmaz,FW,Türkiye,23,2000,5,5,450,5.0,0,0,0,0,0,0,0,0,0.4,0.4,0.8,1.2,14,15,36,0.00,0.00,0.00,0.00,0.00,0.08,0.16,0.24,0.08,0.24
12,Sandro Altunashvili,MF,Georgia,26,1997,2,0,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,Zeki Amdouni,"MF,FW",Switzerland,23,2000,4,0,57,0.6,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,1,6,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.33,0.33
14,Joachim Andersen,DF,Denmark,27,1996,4,4,360,4.0,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,7,24,1,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.10,0.04,0.10
