right,left,left href,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 5,right 6,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,right 20,right 21,right 22,right 23,right 24,right 25,right 26,right 27,left href 3,right 28,right 29
1,Altay Bayındır,https://fbref.com/en/players/072e68ed/Altay-Bayindir,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,26-088,1998,1.0,3,0,0,1,1.6,0.54,-0.4,-0.37,3,7,42.9,33,3,21.2,31.2,2,0.0,7.5,8,2,25.0,0,0.00,12.2,https://fbref.com/en/players/072e68ed/matchlogs/2024/keeper/Altay-Bayindir-Match-Logs,,
2,Koen Casteels,https://fbref.com/en/players/db401046/Koen-Casteels,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,32-016,1992,4.0,2,0,0,1,2.7,+0.43,+1.7,19,8,0.20,17.8,107,31,27.1,34.3,35,34.7,4,48,25.8,8.3,4,1.00,13.8,https://fbref.com/en/players/db401046/matchlogs/2024/keeper/Koen-Casteels-Match-Logs,,
3,Diogo Costa,https://fbref.com/en/players/93fffbcf/Diogo-Costa,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,24-296,1999,5.7,3,0,0,1,3.5,+0.11,+0.5,29,6,0.18,13.2,129,18,27.2,3.8,26,25.6,2,41,33.3,4.9,6,1.20,21.0,https://fbref.com/en/players/93fffbcf/matchlogs/2024/keeper/Diogo-Costa-Match-Logs,,
4,Gianluigi Donnarumma,https://fbref.com/en/players/08f5afaa/Gianluigi-Donnarumma,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,25-137,1999,4.0,5,0,0,1,6.0,+0.49,+2.0,16,10,0.30,22.1,86,23,26.3,25.0,16,27.1,3,41,43.5,7.3,2,0.50,10.1,https://fbref.com/en/players/08f5afaa/matchlogs/2024/keeper/Gianluigi-Donnarumma-Match-Logs,,
5,Martin Dúbravka,https://fbref.com/en/players/3a949a25/Martin-Dubravka,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,35-178,1989,4.3,5,0,0,1,5.0,,+0.01,20,18,0.25,31.9,138,61,30.1,73.9,23,54.7,2,57,29.5,3.5,4,1.00,11.8,https://fbref.com/en/players/3a949a25/matchlogs/2024/keeper/Martin-Dubravka-Match-Logs,0.0,
6,Péter Gulácsi,https://fbref.com/en/players/bcb2ccd8/Peter-Gulacsi,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,34-066,1990,3.0,5,0,0,0.39,5.4,+0.14,+0.4,28.9,10,30,31.8,83,33.3,42.9,39.0,14,1,2.3,43,17,0.33,1,10.1,,https://fbref.com/en/players/bcb2ccd8/matchlogs/2024/keeper/Peter-Gulacsi-Match-Logs,0,
7,Angus Gunn,https://fbref.com/en/players/e082af5b/Angus-Gunn,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,28-171,1996,3.0,7,0,0,1,5.3,-0.56,-1.7,13,28,0.24,51.6,95,69,38.1,90.9,22,62.9,2,45,40.6,4.4,10,3.33,18.0,https://fbref.com/en/players/e082af5b/matchlogs/2024/keeper/Angus-Gunn-Match-Logs,,
8,Mert Günok,https://fbref.com/en/players/b583aef5/Mert-Gunok,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,35-132,1989,4.0,5,0,10.2,2,5.8,+0.46,+1.8,25.9,15,1,17,98,0.33,42.9,40.8,30,53.3,46.8,73,58,5,3,6.8,0.75,https://fbref.com/en/players/b583aef5/matchlogs/2024/keeper/Mert-Gunok-Match-Logs,,
9,Matej Kovar,https://fbref.com/en/players/bc67a0e1/Matej-Kovar,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,24-055,2000,0.4,1,0,0,14,0.4,0.19,-0.6,-1.55,5,2,35.7,16,,81.3,48.8,2,0.0,50.0,2,,54.5,0,0.00,,https://fbref.com/en/players/bc67a0e1/matchlogs/2024/keeper/Matej-Kovar-Match-Logs,0,0
10,Dominik Livaković,https://fbref.com/en/players/58f077c0/Dominik-Livakovic,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,29-184,1995,3.0,6,0,0,1,6.6,+0.20,+0.6,20,10,0.44,36.8,76,33,32.7,29.4,17,30.1,1.67,35,30.3,16.3,5,,,https://fbref.com/en/players/58f077c0/matchlogs/2024/keeper/Dominik-Livakovic-Match-Logs,0,0.0
