right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,left href 3,right 19
1,Che Adams,https://fbref.com/en/players/f2bf1b0f/Che-Adams,FW,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,27-364,1996,2.3,2,1,1,1,0,1,1,100.0,0,2,0,2,1,3,0,0,https://fbref.com/en/players/f2bf1b0f/matchlogs/2024/defense/Che-Adams-Match-Logs,
2,Michel Aebischer,https://fbref.com/en/players/f9c927de/Michel-Aebischer,DF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,27-187,1997,5.3,4,3,2,2,0,1,11,,0,3,7,9.1,2,10,6,2,https://fbref.com/en/players/f9c927de/matchlogs/2024/defense/Michel-Aebischer-Match-Logs,1
3,Arlind Ajeti,https://fbref.com/en/players/f9714604/Arlind-Ajeti,DF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,30-290,1993,3.0,1,1,3,2,0,1,4,33.3,0,5,0,1,6,7,0,,https://fbref.com/en/players/f9714604/matchlogs/2024/defense/Arlind-Ajeti-Match-Logs,13
4,Manuel Akanji,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,DF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,28-358,1995,5.3,2,2,2,2,0,1,1,50.0,0,6,0,6,4,6,0,,https://fbref.com/en/players/89ac64a6/matchlogs/2024/defense/Manuel-Akanji-Match-Logs,22
5,Samet Akaydın,https://fbref.com/en/players/7328bee5/Samet-Akaydin,DF,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,30-120,1994,3.7,8,4,8,8,0,6,75.0,,0,5,0,2,7,5,0,16,https://fbref.com/en/players/7328bee5/matchlogs/2024/defense/Samet-Akaydin-Match-Logs,15
6,Nathan Aké,https://fbref.com/en/players/eaeca114/Nathan-Ake,DF,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,29-144,1995,5.2,7,5,7,7,0,4,57.1,,0,4,0,3,6,3,14,13,https://fbref.com/en/players/eaeca114/matchlogs/2024/defense/Nathan-Ake-Match-Logs,1
7,Yunus Akgün,https://fbref.com/en/players/1453e3cf/Yunus-Akgun,FW,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,24-004,2000,0.8,2,1,1,1,0,2,2,100.0,0,1,0,1,0,2,0,0,https://fbref.com/en/players/1453e3cf/matchlogs/2024/defense/Yunus-Akgun-Match-Logs,
8,Kerem Aktürkoğlu,https://fbref.com/en/players/f28659fb/Kerem-Akturkoglu,"FW,MF",tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,25-264,1998,1.2,1,1,1,2,0,1,1,50.0,0,1,0,1,1,2,0,,https://fbref.com/en/players/f28659fb/matchlogs/2024/defense/Kerem-Akturkoglu-Match-Logs,3
9,Trent Alexander-Arnold,https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold,"MF,DF",eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,25-278,1998,1.5,1,1,1,1,0,4,2,0.0,0,2,0,2,0,3,,1,https://fbref.com/en/players/cd1acf9d/matchlogs/2024/defense/Trent-Alexander-Arnold-Match-Logs,3
10,Denis Alibec,https://fbref.com/en/players/a1474d8e/Denis-Alibec,FW,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,33-188,1991,0.3,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,https://fbref.com/en/players/a1474d8e/matchlogs/2024/defense/Denis-Alibec-Match-Logs,0
11,Barış Alper Yılmaz,https://fbref.com/en/players/414b2ce4/Baris-Alper-Yilmaz,FW,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,24-049,2000,5.0,5,3,2,3,0,1,2,33.3,0,1,0,1,0,5,0,,https://fbref.com/en/players/414b2ce4/matchlogs/2024/defense/Baris-Alper-Yilmaz-Match-Logs,1
