right,left,left href,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,right 7,right 8,right 9,right 10,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,left href 3,right 20
1,Altay Bayındır,https://fbref.com/en/players/072e68ed/Altay-Bayindir,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,26-088,1998,1,1,90,1.0,3,3.00,3,1,0.0,0,1,0,0.0,0,0,0,0,https://fbref.com/en/players/072e68ed/matchlogs/2024/keeper/Altay-Bayindir-Match-Logs,
2,Koen Casteels,https://fbref.com/en/players/db401046/Koen-Casteels,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,32-016,1992,4,4,360,4.0,2,1,0.50,14,1,0,13,0,2,0,,2,50.0,https://fbref.com/en/players/db401046/matchlogs/2024/keeper/Koen-Casteels-Match-Logs,85.7
3,Diogo Costa,https://fbref.com/en/players/93fffbcf/Diogo-Costa,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,24-296,1999,5,5,510,5.7,3,2,0.53,14,2,0,11,0.0,1,1,1,3,60.0,https://fbref.com/en/players/93fffbcf/matchlogs/2024/keeper/Diogo-Costa-Match-Logs,85.7
4,Gianluigi Donnarumma,https://fbref.com/en/players/08f5afaa/Gianluigi-Donnarumma,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,25-137,1999,4,4,360,4.0,5,1,1.25,17,1,0.0,12,0,2,1,0,1,100.0,https://fbref.com/en/players/08f5afaa/matchlogs/2024/keeper/Gianluigi-Donnarumma-Match-Logs,70.6
5,Martin Dúbravka,https://fbref.com/en/players/3a949a25/Martin-Dubravka,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,35-178,1989,4,4,390,4.3,5,1,1.15,16,1,0,11,0.0,2,1,1,1,25.0,https://fbref.com/en/players/3a949a25/matchlogs/2024/keeper/Martin-Dubravka-Match-Logs,75.0
6,Péter Gulácsi,https://fbref.com/en/players/bcb2ccd8/Peter-Gulacsi,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,34-066,1990,3,3,270,3.0,5,1,1.67,14,2,0,9,0,1,0,0,33.3,,https://fbref.com/en/players/bcb2ccd8/matchlogs/2024/keeper/Peter-Gulacsi-Match-Logs,64.3
7,Angus Gunn,https://fbref.com/en/players/e082af5b/Angus-Gunn,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,28-171,1996,3,3,270,3.0,7,1,2.33,19,2,0,12,0.0,1,1,0,0,0.0,https://fbref.com/en/players/e082af5b/matchlogs/2024/keeper/Angus-Gunn-Match-Logs,68.4
8,Mert Günok,https://fbref.com/en/players/b583aef5/Mert-Gunok,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,35-132,1989,4,4,360,4.0,5,3,1.25,19,1,0,15,0.0,,0,0,0,0,https://fbref.com/en/players/b583aef5/matchlogs/2024/keeper/Mert-Gunok-Match-Logs,73.7
9,Matej Kovar,https://fbref.com/en/players/bc67a0e1/Matej-Kovar,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,24-055,2000,1,36,0.4,2,1,2.50,1,0,,0,,0,0,0,0,0,0,https://fbref.com/en/players/bc67a0e1/matchlogs/2024/keeper/Matej-Kovar-Match-Logs,
10,Dominik Livaković,https://fbref.com/en/players/58f077c0/Dominik-Livakovic,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,29-184,1995,3,3,270,3.0,6,2,2.00,15,1,0,9,0.0,,0,0,0,0,https://fbref.com/en/players/58f077c0/matchlogs/2024/keeper/Dominik-Livakovic-Match-Logs,60.0
