right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 6,right 7,right 8,right 9,right 10,right 11,right 14,right 15,right 16,right 17,right 18,left href 3,right 19
1,Che Adams,https://fbref.com/en/players/f2bf1b0f/Che-Adams,FW,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,27-364,1996,2.3,0,0,6,3,1,1,1,1,0,2,3,8,27.3,https://fbref.com/en/players/f2bf1b0f/matchlogs/2024/misc/Che-Adams-Match-Logs,
2,Michel Aebischer,https://fbref.com/en/players/f9c927de/Michel-Aebischer,DF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,27-187,1997,5.3,0,0,2,7,1,3,2,3,0,20,4,6,40.0,https://fbref.com/en/players/f9c927de/matchlogs/2024/misc/Michel-Aebischer-Match-Logs,
3,Arlind Ajeti,https://fbref.com/en/players/f9714604/Arlind-Ajeti,DF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,30-290,1993,3.0,0,0,1,6,5,9,30.8,0,0,0,4,0,0,https://fbref.com/en/players/f9714604/matchlogs/2024/misc/Arlind-Ajeti-Match-Logs,
4,Manuel Akanji,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,DF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,28-358,1995,5.3,0,0,2,2,4,2,24,6,0,53.8,7,0,0,https://fbref.com/en/players/89ac64a6/matchlogs/2024/misc/Manuel-Akanji-Match-Logs,
5,Samet Akaydın,https://fbref.com/en/players/7328bee5/Samet-Akaydin,DF,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,30-120,1994,3.7,10,0,3,1,7,4,1,9,0,6,2,62.5,0,https://fbref.com/en/players/7328bee5/matchlogs/2024/misc/Samet-Akaydin-Match-Logs,
6,Nathan Aké,https://fbref.com/en/players/eaeca114/Nathan-Ake,DF,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,29-144,1995,5.2,3,0,3,1,1,6,5,11,0,4,1,42.9,0,https://fbref.com/en/players/eaeca114/matchlogs/2024/misc/Nathan-Ake-Match-Logs,
7,Yunus Akgün,https://fbref.com/en/players/1453e3cf/Yunus-Akgun,FW,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,24-004,2000,0.8,0,0,2,3,1,2,,0,0,0,0,0,0,https://fbref.com/en/players/1453e3cf/matchlogs/2024/misc/Yunus-Akgun-Match-Logs,
8,Kerem Aktürkoğlu,https://fbref.com/en/players/f28659fb/Kerem-Akturkoglu,"FW,MF",tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,25-264,1998,1.2,0,0,2,1,3,1,1,6,0,2,0,,0,https://fbref.com/en/players/f28659fb/matchlogs/2024/misc/Kerem-Akturkoglu-Match-Logs,0.0
9,Trent Alexander-Arnold,https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold,"MF,DF",eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,25-278,1998,1.5,0,0,1,3,5,2,3,,0,0,1,0,0,https://fbref.com/en/players/cd1acf9d/matchlogs/2024/misc/Trent-Alexander-Arnold-Match-Logs,100.0
10,Denis Alibec,https://fbref.com/en/players/a1474d8e/Denis-Alibec,FW,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,33-188,1991,0.3,0,0,2,3,,0,0,0,0,0,0,0,0,https://fbref.com/en/players/a1474d8e/matchlogs/2024/misc/Denis-Alibec-Match-Logs,
11,Barış Alper Yılmaz,https://fbref.com/en/players/414b2ce4/Baris-Alper-Yilmaz,FW,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,24-049,2000,5.0,0,0,3,11,2,8,14,10,0,33.3,5,0,0,https://fbref.com/en/players/414b2ce4/matchlogs/2024/misc/Baris-Alper-Yilmaz-Match-Logs,
12,Sandro Altunashvili,https://fbref.com/en/players/9432be82/Sandro-Altunashvili,MF,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,27-053,1997,0.6,0,0,1,1,3,,0,0,0,0,0,0,0,https://fbref.com/en/players/9432be82/matchlogs/2024/misc/Sandro-Altunashvili-Match-Logs,
13,Zeki Amdouni,https://fbref.com/en/players/2ee5b0c9/Zeki-Amdouni,"MF,FW",ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,23-220,2000,0.6,0,0,1,2,4,1,,0,0,0,1,0,0,https://fbref.com/en/players/2ee5b0c9/matchlogs/2024/misc/Zeki-Amdouni-Match-Logs,50.0
14,Joachim Andersen,https://fbref.com/en/players/e34fc66d/Joachim-Andersen,DF,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,28-041,1996,4.0,18,0,8,5,2,1,1,9,0,4,1,81.8,0,https://fbref.com/en/players/e34fc66d/matchlogs/2024/misc/Joachim-Andersen-Match-Logs,
15,Robert Andrich,https://fbref.com/en/players/e0b113a7/Robert-Andrich,MF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,29-293,1994,3.5,6,0,11,3,1,2,8,15,0,8,2,42.9,0,https://fbref.com/en/players/e0b113a7/matchlogs/2024/misc/Robert-Andrich-Match-Logs,
16,Waldemar Anton,https://fbref.com/en/players/5e66fa06/Waldemar-Anton,DF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,27-357,1996,0.4,0,0,2,0,,0,0,0,0,0,1,0,0,https://fbref.com/en/players/5e66fa06/matchlogs/2024/misc/Waldemar-Anton-Match-Logs,100.0
