right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,right 20,right 21,right 22,right 23,right 24,right 25,left href 3,right 26,right 27,right 28,right 29
1,Che Adams,https://fbref.com/en/players/f2bf1b0f/Che-Adams,FW,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,27-364,1996,2.3,27,31,87.1,386,44,15,17,88.2,8,8,100.0,1,3,33.3,0,0.1,0.2,-0.1,2,2,0,0,2,https://fbref.com/en/players/f2bf1b0f/matchlogs/2024/passing/Che-Adams-Match-Logs,,,,
2,Michel Aebischer,https://fbref.com/en/players/f9c927de/Michel-Aebischer,DF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,27-187,1997,5.3,221,252,87.7,3316,1014,131,140,93.6,75,88,85.2,10,16,62.5,2,1.2,1.0,+0.8,6,17,0,28,7,https://fbref.com/en/players/f9c927de/matchlogs/2024/passing/Michel-Aebischer-Match-Logs,,,,
3,Arlind Ajeti,https://fbref.com/en/players/f9714604/Arlind-Ajeti,DF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,30-290,1993,3.0,93,112,83.0,1654,533,35,37,94.6,48,53,90.6,8,17,47.1,0,4,5,0,0,0,0.0,0.0,0.0,https://fbref.com/en/players/f9714604/matchlogs/2024/passing/Arlind-Ajeti-Match-Logs,,,,
4,Manuel Akanji,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,DF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,28-358,1995,5.3,304,331,91.8,5658,2036,113,119,95.0,158,168,94.0,31,39,79.5,0,0.1,1,21,25,0,0.0,0.0,0,https://fbref.com/en/players/89ac64a6/matchlogs/2024/passing/Manuel-Akanji-Match-Logs,,,,
5,Samet Akaydın,https://fbref.com/en/players/7328bee5/Samet-Akaydin,DF,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,30-120,1994,3.7,185,206,89.8,3262,1350,79,80,98.8,91,103,88.3,13,21,61.9,0,0.1,18,15,0,0,0.0,0.0,0,https://fbref.com/en/players/7328bee5/matchlogs/2024/passing/Samet-Akaydin-Match-Logs,,,,
6,Nathan Aké,https://fbref.com/en/players/eaeca114/Nathan-Ake,DF,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,29-144,1995,5.2,239,274,87.2,3493,1239,138,145,95.2,89,103,86.4,8,14,57.1,1,0.4,0.4,+0.6,5,23,0,21,1,https://fbref.com/en/players/eaeca114/matchlogs/2024/passing/Nathan-Ake-Match-Logs,,,,
7,Yunus Akgün,https://fbref.com/en/players/1453e3cf/Yunus-Akgun,FW,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,24-004,2000,0.8,14,17,239,92,5,5,9,2,9,0.1,0.1,0.0,-0.1,2,0,1,1,3,,,0,,,https://fbref.com/en/players/1453e3cf/matchlogs/2024/passing/Yunus-Akgun-Match-Logs,82.4,100.0,100.0,0
8,Kerem Aktürkoğlu,https://fbref.com/en/players/f28659fb/Kerem-Akturkoglu,"FW,MF",tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,25-264,1998,1.2,22,38,352,78,12,11,18,5,10,0.1,-0.1,1,3,3,0,3,,,,,0.0,0,0,https://fbref.com/en/players/f28659fb/matchlogs/2024/passing/Kerem-Akturkoglu-Match-Logs,57.9,91.7,55.6,20.0
9,Trent Alexander-Arnold,https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold,"MF,DF",eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,25-278,1998,1.5,84,101,1618,556,46,42,25,23,22,0.1,0.2,16,-0.1,3,0,8,2,12,,,0,,,https://fbref.com/en/players/cd1acf9d/matchlogs/2024/passing/Trent-Alexander-Arnold-Match-Logs,83.2,91.3,88.0,69.6
10,Denis Alibec,https://fbref.com/en/players/a1474d8e/Denis-Alibec,FW,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,33-188,1991,0.3,4,4,41,3,1,1,1,0,1,,,,,,0,0,0,0,0,0.0,0,0.0,0.0,https://fbref.com/en/players/a1474d8e/matchlogs/2024/passing/Denis-Alibec-Match-Logs,100.0,100.0,100.0,0
