right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,left href 3
1,Che Adams,https://fbref.com/en/players/f2bf1b0f/Che-Adams,FW,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,27-364,1996,2.3,31,28,3,0,0,1,1,0,0,0,0,0,27,0,0,https://fbref.com/en/players/f2bf1b0f/matchlogs/2024/passing_types/Che-Adams-Match-Logs
2,Michel Aebischer,https://fbref.com/en/players/f9c927de/Michel-Aebischer,DF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,27-187,1997,5.3,252,219,32,0,0,4,3,0,0,0,1,28,221,3,2,https://fbref.com/en/players/f9c927de/matchlogs/2024/passing_types/Michel-Aebischer-Match-Logs
3,Arlind Ajeti,https://fbref.com/en/players/f9714604/Arlind-Ajeti,DF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,30-290,1993,3.0,112,105,6,0,0,6,1,0,0,0,0,0,93,2,1,https://fbref.com/en/players/f9714604/matchlogs/2024/passing_types/Arlind-Ajeti-Match-Logs
4,Manuel Akanji,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,DF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,28-358,1995,5.3,331,304,26,0,0,11,1,0,0,0,0,0,304,0,2,https://fbref.com/en/players/89ac64a6/matchlogs/2024/passing_types/Manuel-Akanji-Match-Logs
5,Samet Akaydın,https://fbref.com/en/players/7328bee5/Samet-Akaydin,DF,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,30-120,1994,3.7,206,197,9,0,0,6,1,0,0,0,0,0,185,0,0,https://fbref.com/en/players/7328bee5/matchlogs/2024/passing_types/Samet-Akaydin-Match-Logs
6,Nathan Aké,https://fbref.com/en/players/eaeca114/Nathan-Ake,DF,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,29-144,1995,5.2,274,227,44,0,0,11,1,0,0,0,0,5,239,3,33,https://fbref.com/en/players/eaeca114/matchlogs/2024/passing_types/Nathan-Ake-Match-Logs
7,Yunus Akgün,https://fbref.com/en/players/1453e3cf/Yunus-Akgun,FW,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,24-004,2000,0.8,17,16,1,0,0,3,1,0,0,14,0,0,1,0,1,https://fbref.com/en/players/1453e3cf/matchlogs/2024/passing_types/Yunus-Akgun-Match-Logs
8,Kerem Aktürkoğlu,https://fbref.com/en/players/f28659fb/Kerem-Akturkoglu,"FW,MF",tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,25-264,1998,1.2,38,36,1,0,0,1,3,0,0,0,0,1,22,1,1,https://fbref.com/en/players/f28659fb/matchlogs/2024/passing_types/Kerem-Akturkoglu-Match-Logs
9,Trent Alexander-Arnold,https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold,"MF,DF",eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,25-278,1998,1.5,101,97,4,0,0,3,3,0,0,0,2,1,84,1,5,https://fbref.com/en/players/cd1acf9d/matchlogs/2024/passing_types/Trent-Alexander-Arnold-Match-Logs
10,Denis Alibec,https://fbref.com/en/players/a1474d8e/Denis-Alibec,FW,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,33-188,1991,0.3,4,2,2,0,0,0,0,0,0,0,0,0,4,0,0,https://fbref.com/en/players/a1474d8e/matchlogs/2024/passing_types/Denis-Alibec-Match-Logs
11,Barış Alper Yılmaz,https://fbref.com/en/players/414b2ce4/Baris-Alper-Yilmaz,FW,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,24-049,2000,5.0,105,98,7,0,0,1,2,0,0,0,1,1,80,8,1,https://fbref.com/en/players/414b2ce4/matchlogs/2024/passing_types/Baris-Alper-Yilmaz-Match-Logs
12,Sandro Altunashvili,https://fbref.com/en/players/9432be82/Sandro-Altunashvili,MF,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,27-053,1997,0.6,16,16,1,0,0,0,0,0,0,0,0,0,13,0,0,https://fbref.com/en/players/9432be82/matchlogs/2024/passing_types/Sandro-Altunashvili-Match-Logs
