right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,left href 3,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,right 20,right 21,right 22,right 23,right 24,right 25,right 26,right 27,right 28
1,Amir Abrashi,https://fbref.com/en/players/1c08a3c8/Amir-Abrashi,MF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,34-106,1990,0,0,0,0,3,https://fbref.com/en/players/1c08a3c8/matchlogs/2024/summary/Amir-Abrashi-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
2,Che Adams,https://fbref.com/en/players/f2bf1b0f/Che-Adams,FW,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,27-364,1996,0,0.7,0,3,209,https://fbref.com/en/players/f2bf1b0f/matchlogs/2024/summary/Che-Adams-Match-Logs,70,77.4,2.3,3,70,0,0.33,1,4,-3,-1.29,+1.66,2.8,-2.0,-0.88,+1.23,,,,,,
3,Michel Aebischer,https://fbref.com/en/players/f9c927de/Michel-Aebischer,DF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,27-187,1997,0,6.5,0,5,476,https://fbref.com/en/players/f9c927de/matchlogs/2024/summary/Michel-Aebischer-Match-Logs,95,99.2,5.3,5,95,,1.80,3,8,-5.09,+0.30,+4,4,+1.6,+0.76,+0.76,4.9,,,,,
4,Arlind Ajeti,https://fbref.com/en/players/f9714604/Arlind-Ajeti,DF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,30-290,1993,0,2.4,0,3,270,https://fbref.com/en/players/f9714604/matchlogs/2024/summary/Arlind-Ajeti-Match-Logs,90,100.0,3.0,3,90,,0.33,3,3,-2,-0.67,,5,-3.2,-1.07,,5.7,,,,,
5,Manuel Akanji,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,DF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,28-358,1995,0,6.7,0,5,480,https://fbref.com/en/players/89ac64a6/matchlogs/2024/summary/Manuel-Akanji-Match-Logs,96,100.0,5.3,5,96,,1.80,5,8,,+0.37,+4,4,+0.37,+1.8,+0.75,4.9,,,,,
6,Samet Akaydın,https://fbref.com/en/players/7328bee5/Samet-Akaydin,DF,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,30-120,1994,0,5.7,0,4,335,https://fbref.com/en/players/7328bee5/matchlogs/2024/summary/Samet-Akaydin-Match-Logs,84,74.4,3.7,4,84,,1.50,2,6,-1,-0.27,+0.2,7,-1.05,+1.45,+0.04,5.6,,,,,
7,Nathan Aké,https://fbref.com/en/players/eaeca114/Nathan-Ake,DF,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,29-144,1995,0,6.6,0,6,470,https://fbref.com/en/players/eaeca114/matchlogs/2024/summary/Nathan-Ake-Match-Logs,78,87.0,5.2,6,78,0,1.67,2,6,-3.86,-0.06,+1.3,6,,,+0.25,5.2,0.00,,,,
8,Yunus Akgün,https://fbref.com/en/players/1453e3cf/Yunus-Akgun,FW,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,24-004,2000,0,,0,1,69,https://fbref.com/en/players/1453e3cf/matchlogs/2024/summary/Yunus-Akgun-Match-Logs,69,0.8,4,1,3,0,0.7,1.6,,-3,-0.9,-1.07,,15.3,69,0.00,-3.91,,-4.62,-1.23,,
9,Kerem Aktürkoğlu,https://fbref.com/en/players/f28659fb/Kerem-Akturkoglu,"FW,MF",tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,25-264,1998,12,2.8,0,5,105,https://fbref.com/en/players/f28659fb/matchlogs/2024/summary/Kerem-Akturkoglu-Match-Logs,21,1.2,2,1,3,0,4,3.0,,-1,-0.2,,,23.3,57,,-0.86,,-1.12,-0.21,1.80,+0.15
10,Trent Alexander-Arnold,https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold,"MF,DF",eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,25-278,1998,7,0.9,0,4,134,https://fbref.com/en/players/cd1acf9d/matchlogs/2024/summary/Trent-Alexander-Arnold-Match-Logs,34,1.5,2,2,2,,2,1,0.6,+0.20,+0.19,+1,,22.3,61,+0.3,,,,+0.29,1.50,+0.67
11,Denis Alibec,https://fbref.com/en/players/a1474d8e/Denis-Alibec,FW,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,33-188,1991,0,,0,2,29,https://fbref.com/en/players/a1474d8e/matchlogs/2024/summary/Denis-Alibec-Match-Logs,15,0.3,2,2,2,0,0.4,1.4,,-2,-1.0,-2.70,,8.1,15,0.00,-6.21,,-6.21,-3.14,,
12,Naser Aliji,https://fbref.com/en/players/a183fa26/Naser-Aliji,"DF,MF",al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,30-197,1993,0,0,0,0,3,https://fbref.com/en/players/a183fa26/matchlogs/2024/summary/Naser-Aliji-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
13,Barış Alper Yılmaz,https://fbref.com/en/players/414b2ce4/Baris-Alper-Yilmaz,FW,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,24-049,2000,0,7.3,0,5,450,https://fbref.com/en/players/414b2ce4/matchlogs/2024/summary/Baris-Alper-Yilmaz-Match-Logs,90,100.0,5.0,5,90,0,1.80,5,8,-1.6,-0.32,,8,,,,8.9,0.00,,,,
14,Sandro Altunashvili,https://fbref.com/en/players/9432be82/Sandro-Altunashvili,MF,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,27-053,1997,0,,0,2,52,https://fbref.com/en/players/9432be82/matchlogs/2024/summary/Sandro-Altunashvili-Match-Logs,26,0.6,2,2,4,0,0.4,3.0,,-4,-2.6,-3.24,,14.4,26,0.00,-6.92,,-7.22,-4.51,,
