right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,right 20,right 21,right 22,right 23,right 24,left href 3,right 25,right 26
1,Che Adams,https://fbref.com/en/players/f2bf1b0f/Che-Adams,FW,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,27-364,1996,2.3,51,0,4,27,21,6,51,1,0,0.0,1,100.0,34,211,84,3,3,0,7,4,36,10,https://fbref.com/en/players/f2bf1b0f/matchlogs/2024/possession/Che-Adams-Match-Logs,,
2,Michel Aebischer,https://fbref.com/en/players/f9c927de/Michel-Aebischer,DF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,27-187,1997,5.3,288,18,11,57,126,108,3,6,1,5,288,,178,1,16.7,3,50.0,,671,271,197,4,https://fbref.com/en/players/f9c927de/matchlogs/2024/possession/Michel-Aebischer-Match-Logs,8,1
3,Arlind Ajeti,https://fbref.com/en/players/f9714604/Arlind-Ajeti,DF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,30-290,1993,3.0,135,0,30,84,50,2,1,1,0,0.0,135,100.0,76,1,271,121,1,0,1,,89,,https://fbref.com/en/players/f9714604/matchlogs/2024/possession/Arlind-Ajeti-Match-Logs,0,0
4,Manuel Akanji,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,DF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,28-358,1995,5.3,365,0,70,177,182,7,1,234,0,0,365,,238,1338,821,2,4,0,1,1,,,https://fbref.com/en/players/89ac64a6/matchlogs/2024/possession/Manuel-Akanji-Match-Logs,,0
5,Samet Akaydın,https://fbref.com/en/players/7328bee5/Samet-Akaydin,DF,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,30-120,1994,3.7,248,0,27,110,135,4,2,139,0,0,248,,168,861,461,1,1,0,2,1,,,https://fbref.com/en/players/7328bee5/matchlogs/2024/possession/Samet-Akaydin-Match-Logs,,0
6,Nathan Aké,https://fbref.com/en/players/eaeca114/Nathan-Ake,DF,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,29-144,1995,5.2,310,0,17,93,168,52,9,1,0,0.0,310,100.0,183,1,940,572,7,0,11,2,205,11,https://fbref.com/en/players/eaeca114/matchlogs/2024/possession/Nathan-Ake-Match-Logs,,
7,Yunus Akgün,https://fbref.com/en/players/1453e3cf/Yunus-Akgun,FW,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,24-004,2000,0.8,27,0,2,12,13,1,27,4,0,,1,,20,25.0,3,75.0,111,0,48,3,22,2,https://fbref.com/en/players/1453e3cf/matchlogs/2024/possession/Yunus-Akgun-Match-Logs,2,5
8,Kerem Aktürkoğlu,https://fbref.com/en/players/f28659fb/Kerem-Akturkoglu,"FW,MF",tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,25-264,1998,1.2,60,0,3,16,19,27,12,8,11,1,60,,33,3,37.5,5,62.5,,339,217,34,7,https://fbref.com/en/players/f28659fb/matchlogs/2024/possession/Kerem-Akturkoglu-Match-Logs,3,3
9,Trent Alexander-Arnold,https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold,"MF,DF",eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,25-278,1998,1.5,121,0,6,25,66,32,3,4,0.0,5,121,,73,2,50.0,349,213,,5,3,93,2,https://fbref.com/en/players/cd1acf9d/matchlogs/2024/possession/Trent-Alexander-Arnold-Match-Logs,2,1
10,Denis Alibec,https://fbref.com/en/players/a1474d8e/Denis-Alibec,FW,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,33-188,1991,0.3,7,0,3,4,1,7,12,6,0,0,8,,8,2,1,2,,0,,0,,0,https://fbref.com/en/players/a1474d8e/matchlogs/2024/possession/Denis-Alibec-Match-Logs,0,0
