right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,left href 3,right 20,right 21,right 22
1,Che Adams,https://fbref.com/en/players/f2bf1b0f/Che-Adams,FW,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,27-364,1996,2.3,0,2,1,50.0,0.86,0.43,0.00,0.00,14.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,https://fbref.com/en/players/f2bf1b0f/matchlogs/2024/summary/Che-Adams-Match-Logs,,,
2,Michel Aebischer,https://fbref.com/en/players/f9c927de/Michel-Aebischer,DF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,27-187,1997,5.3,0.1,2,1,50.0,0.38,0.19,0,0,0.50,0,,+0.9,1,1.00,21.7,+0.9,,https://fbref.com/en/players/f9c927de/matchlogs/2024/summary/Michel-Aebischer-Match-Logs,0.1,0.05,
3,Arlind Ajeti,https://fbref.com/en/players/f9714604/Arlind-Ajeti,DF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,30-290,1993,3.0,0,,,,,0.0,0,0,0.0,0.00,0.00,0,0.0,,0,0.0,,https://fbref.com/en/players/f9714604/matchlogs/2024/summary/Arlind-Ajeti-Match-Logs,0,,
4,Manuel Akanji,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,DF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,28-358,1995,5.3,0,,,,,0.0,0,0,0.0,0.00,0.00,0,0.0,,0,0.0,,https://fbref.com/en/players/89ac64a6/matchlogs/2024/summary/Manuel-Akanji-Match-Logs,0,,
5,Samet Akaydın,https://fbref.com/en/players/7328bee5/Samet-Akaydin,DF,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,30-120,1994,3.7,0.4,2,1,50.0,0.54,0.27,0,0,0.50,0,,+0.6,1,1.00,5.2,+0.6,,https://fbref.com/en/players/7328bee5/matchlogs/2024/summary/Samet-Akaydin-Match-Logs,0.4,0.18,
6,Nathan Aké,https://fbref.com/en/players/eaeca114/Nathan-Ake,DF,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,29-144,1995,5.2,0,2,0.38,10.0,0.1,0.06,0,0.0,,0.00,0.00,0,0.1,,0,-0.1,-0.1,https://fbref.com/en/players/eaeca114/matchlogs/2024/summary/Nathan-Ake-Match-Logs,0,,
7,Yunus Akgün,https://fbref.com/en/players/1453e3cf/Yunus-Akgun,FW,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,24-004,2000,0.8,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/1453e3cf/matchlogs/2024/summary/Yunus-Akgun-Match-Logs,0.0,,
8,Kerem Aktürkoğlu,https://fbref.com/en/players/f28659fb/Kerem-Akturkoglu,"FW,MF",tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,25-264,1998,1.2,1.4,6,2,33.3,0.17,0.50,0,0,12.0,0,,,1,1.4,0.24,-0.4,-0.4,https://fbref.com/en/players/f28659fb/matchlogs/2024/summary/Kerem-Akturkoglu-Match-Logs,,5.14,1.71
9,Trent Alexander-Arnold,https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold,"MF,DF",eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,25-278,1998,1.5,0,4,1,25.0,28.6,1,0.00,0.00,0.1,0,0,,0.1,0.03,,-0.1,-0.1,https://fbref.com/en/players/cd1acf9d/matchlogs/2024/summary/Trent-Alexander-Arnold-Match-Logs,,2.69,0.67
10,Denis Alibec,https://fbref.com/en/players/a1474d8e/Denis-Alibec,FW,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,33-188,1991,0.3,0,1,0.3,,0.00,0.00,0,0,,0,0,,0.3,0.0,,-0.3,-0.3,https://fbref.com/en/players/a1474d8e/matchlogs/2024/summary/Denis-Alibec-Match-Logs,,3.10,14.1
