right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,right 20,right 21,right 22,right 23,right 24,right 25,right 26,right 27,right 28,right 29,right 30,left href 3,right 31,right 32,right 33,right 34,right 35,right 36,right 37,right 38,right 39
1,Che Adams,https://fbref.com/en/players/f2bf1b0f/Che-Adams,FW,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,27-364,1996,3,3,209,2.3,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,2,10,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.09,0.05,0.09,https://fbref.com/en/players/f2bf1b0f/matchlogs/2024/summary/Che-Adams-Match-Logs,,,,,,,,,
2,Michel Aebischer,https://fbref.com/en/players/f9c927de/Michel-Aebischer,DF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,27-187,1997,5,5,476,5.3,0.02,0,0,0,0.24,0.02,0.24,1,2,3,1,0.1,0.1,1.2,0.19,0.22,0.19,0.57,0.57,4,1.3,28,18,0.38,https://fbref.com/en/players/f9c927de/matchlogs/2024/summary/Michel-Aebischer-Match-Logs,,,,,,,,,
3,Arlind Ajeti,https://fbref.com/en/players/f9714604/Arlind-Ajeti,DF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,30-290,1993,3,3,270,3.0,0,0,0,0,0,0,0,1,5,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/f9714604/matchlogs/2024/summary/Arlind-Ajeti-Match-Logs,,,,,,,,,
4,Manuel Akanji,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,DF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,28-358,1995,5,5,480,5.3,0,0,0,0,0,0,0,2,25,1,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/89ac64a6/matchlogs/2024/summary/Manuel-Akanji-Match-Logs,,,,,,,,,
5,Samet Akaydın,https://fbref.com/en/players/7328bee5/Samet-Akaydin,DF,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,30-120,1994,4,4,335,3.7,0.09,0,0,0,0.0,0,0.00,1,1,1,2,0.4,0.4,0.4,0.27,0.00,0.09,0.09,0.09,1,15,0.27,0.27,0.27,https://fbref.com/en/players/7328bee5/matchlogs/2024/summary/Samet-Akaydin-Match-Logs,,,,,,,,,
6,Nathan Aké,https://fbref.com/en/players/eaeca114/Nathan-Ake,DF,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,29-144,1995,6,6,470,5.2,0,0,0,0,0.00,0.11,0.02,0.1,1,1,1,7,0.1,0.4,0.00,0.11,0.19,0.08,0.19,0.02,0.6,21,11,0.19,https://fbref.com/en/players/eaeca114/matchlogs/2024/summary/Nathan-Ake-Match-Logs,,,,,,,,,
7,Yunus Akgün,https://fbref.com/en/players/1453e3cf/Yunus-Akgun,FW,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,24-004,2000,1,1,69,0.8,0,0,0,0,0,0,0,3,0.1,0.1,3,0.00,5,,0.0,0.0,,,,,0.00,,,,https://fbref.com/en/players/1453e3cf/matchlogs/2024/summary/Yunus-Akgun-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.11,
8,Kerem Aktürkoğlu,https://fbref.com/en/players/f28659fb/Kerem-Akturkoglu,"FW,MF",tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,25-264,1998,5,1,105,1.2,,0,0,0,0,,,1,1,1,1.4,1.4,0.1,1.5,1.22,1.33,1.33,1.22,0.11,7,3,11,,,https://fbref.com/en/players/f28659fb/matchlogs/2024/summary/Kerem-Akturkoglu-Match-Logs,,0.00,,,,0.86,0.86,0.86,0.86
9,Trent Alexander-Arnold,https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold,"MF,DF",eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,25-278,1998,4,2,134,1.5,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,5,12,5,,,,,0.16,,,,,,https://fbref.com/en/players/cd1acf9d/matchlogs/2024/summary/Trent-Alexander-Arnold-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.08,0.16,0.07,0.07
10,Denis Alibec,https://fbref.com/en/players/a1474d8e/Denis-Alibec,FW,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,33-188,1991,2,29,0.3,0.3,0,0,0,0,0,0,0,0.3,0.3,2,,,,,0,0,0.0,0,,,0.00,,,,https://fbref.com/en/players/a1474d8e/matchlogs/2024/summary/Denis-Alibec-Match-Logs,0.00,0.00,0.00,0.00,0.00,1.05,1.05,1.05,1.05
11,Barış Alper Yılmaz,https://fbref.com/en/players/414b2ce4/Baris-Alper-Yilmaz,FW,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,24-049,2000,5,5,450,5.0,0,0,0,0,0,0,0,0.4,0.4,0.8,1.2,14,15,36,0.00,0.00,0.00,0.00,0.00,0.08,0.16,0.24,0.08,0.24,https://fbref.com/en/players/414b2ce4/matchlogs/2024/summary/Baris-Alper-Yilmaz-Match-Logs,,,,,,,,,
12,Sandro Altunashvili,https://fbref.com/en/players/9432be82/Sandro-Altunashvili,MF,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,27-053,1997,2,52,0.6,1,0,0,0,0,0,0,0,1,,,,0.00,0.00,0.00,0.0,0,0.0,0.0,0.0,,0.00,,,0,https://fbref.com/en/players/9432be82/matchlogs/2024/summary/Sandro-Altunashvili-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.00,,,
13,Zeki Amdouni,https://fbref.com/en/players/2ee5b0c9/Zeki-Amdouni,"MF,FW",ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,23-220,2000,4,57,0.6,0.2,0,0,0,0,0,0,0,0.2,0.2,1,6,3,,,,0,0.0,,,,0.00,,,,https://fbref.com/en/players/2ee5b0c9/matchlogs/2024/summary/Zeki-Amdouni-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.33,0.33
14,Joachim Andersen,https://fbref.com/en/players/e34fc66d/Joachim-Andersen,DF,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,28-041,1996,4,4,360,4.0,0,0,0,0,0,0,0.00,0.2,1,0.2,0.2,7,0.4,24,0.00,0.00,0.00,0.00,0.10,0.04,1,0.06,0.10,0.04,https://fbref.com/en/players/e34fc66d/matchlogs/2024/summary/Joachim-Andersen-Match-Logs,,,,,,,,,
15,Robert Andrich,https://fbref.com/en/players/e0b113a7/Robert-Andrich,MF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,29-293,1994,5,4,318,3.5,0,0,0,0,0,0,0.00,0.3,2,0.3,0.1,1,0.4,21,0.00,0.00,0.00,0.00,0.12,0.09,3,0.03,0.12,0.09,https://fbref.com/en/players/e0b113a7/matchlogs/2024/summary/Robert-Andrich-Match-Logs,,,,,,,,,
16,Waldemar Anton,https://fbref.com/en/players/5e66fa06/Waldemar-Anton,DF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,27-357,1996,2,33,0.4,0.1,0,0,0,0,0,0,0,,0.1,2,,0.00,,,0.0,0,0.0,0,,0,0.00,,,,https://fbref.com/en/players/5e66fa06/matchlogs/2024/summary/Waldemar-Anton-Match-Logs,0.00,0.00,0.00,0.00,0.00,2.10,2.10,2.10,
17,Stuart Armstrong,https://fbref.com/en/players/97333cf5/Stuart-Armstrong,MF,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,32-103,1992,1,15,0.2,1,0,0,0,0,0,0,0,1,1,,,0.00,0.00,0.00,0.0,0,0.0,0.0,0.0,,0.00,,,,https://fbref.com/en/players/97333cf5/matchlogs/2024/summary/Stuart-Armstrong-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.00,,,
18,Marko Arnautović,https://fbref.com/en/players/00459419/Marko-Arnautovic,FW,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,35-083,1989,4,3,279,3.1,0.53,0,0,0.0,0.00,0.00,0.00,1,1,1,1,1.7,1,0.9,0.32,0.00,0.28,0.28,0.53,1,0.9,3,16,0.32,https://fbref.com/en/players/00459419/matchlogs/2024/summary/Marko-Arnautovic-Match-Logs,,,,,,,,,
19,Jasir Asani,https://fbref.com/en/players/6354ac8c/Jasir-Asani,FW,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,29-053,1995,3,3,210,2.3,0,0,0,0,0,0.00,0.20,0.1,1,1,0.1,4,0.4,0.5,0.00,0.02,0.18,0.20,0.43,0.02,4,9,0.43,0.43,https://fbref.com/en/players/6354ac8c/matchlogs/2024/summary/Jasir-Asani-Match-Logs,,,,,,,,,
20,Kristjan Asllani,https://fbref.com/en/players/0fdcef0e/Kristjan-Asllani,MF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,22-124,2002,3,3,270,3.0,0,0,0,0,0,0,0,0.6,0.6,0.6,1.1,3,10,3,0.00,0.00,0.00,0.00,0.00,0.18,0.19,0.38,0.18,0.38,https://fbref.com/en/players/0fdcef0e/matchlogs/2024/summary/Kristjan-Asllani-Match-Logs,,,,,,,,,
21,Kaan Ayhan,https://fbref.com/en/players/2200181e/Kaan-Ayhan,"MF,DF",tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,29-244,1994,5,4,358,4.0,0,0,0,0,0.00,0.15,0.08,0.3,1,1,1,1,0.3,0.3,0.00,0.15,0.25,0.07,0.25,0.08,0.6,16,4,0.25,https://fbref.com/en/players/2200181e/matchlogs/2024/summary/Kaan-Ayhan-Match-Logs,,,,,,,,,
